Exam_Name,Year,Conducting_Body,Total_Applicants,Appeared_Candidates,Total_Vacancies,Selected_Candidates
UPSC CSE,2020,UPSC,1057948,486952,836,833
UPSC CSE,2021,UPSC,1093948,513192,712,685
UPSC CSE,2022,UPSC,1135697,573735,1011,933
UPSC CSE,2023,UPSC,1300000,580000,1105,1016
UPSC CSE,2024,UPSC,1340000,583213,1056,1009
SSC CGL,2021,SSC,1963000,780380,7621,7621
SSC CGL,2022,SSC,3480000,1616687,36012,36012
SSC CGL,2023,SSC,2474000,1236202,8415,8415
SSC CGL,2024,SSC,3483411,1813060,18236,18236
SSC CHSL,2023,SSC,3200000,1400000,4500,4500
SSC CHSL,2024,SSC,3000000,1350000,3712,3712
RRB NTPC,2019,RRB,12500000,5700000,35281,35281
RRB Group D,2019,RRB,11500000,6000000,103769,103769
RRB ALP,2024,RRB,4700000,2500000,18799,18799
IBPS PO,2022,IBPS,574000,400000,8432,8432
IBPS PO,2023,IBPS,600000,420000,5000,5000
IBPS PO,2024,IBPS,550000,380000,5500,5500
UP Police Constable,2024,UPPRPB,5000000,3500000,60244,60244